title;author;rating;category;fandom;relationship;character;additional tags;language;published;status;status date;words;chapters;comments;kudos;bookmarks;hits
Warmth to the Touch;author_123;Mature;F/F, F/M, M/M, Multi, Other;Ancient Greek Religion & Lore;Ares/Hestia (Ancient Greek Religion & Lore);Athena (Ancient Greek Religion & Lore), Ares (Ancient Greek Religion & Lore), Hestia (Ancient Greek Religion & Lore), Aphrodite (Ancient Greek Religion & Lore), Zeus (Ancient Greek Religion & Lore);Old Gods, War, References to Ancient Greek Religion & Lore, Romance, Fluff and Humor, Mount Olympus (Ancient Greek Religion & Lore), power;English;2022-10-20;Completed;2022-10-20;747;1/1;;2;;70
Recollections;author_114;General Audiences;Gen;Ancient Greek Religion & Lore;;Minotaur;;English;2022-10-19;Completed;2022-10-19;833;1/1;;2;;18
School Assignment 1;author_124;Teen And Up Audiences;;The Monkey's Paw - W. W. Jacobs, Ancient Greek Religion & Lore;;Hades (Ancient Greek Religion & Lore);assignment, Hades Jumpscare;English;2022-10-19;Completed;2022-10-19;792;1/1;;;;5
Greek Retellings;author_125;General Audiences;Gen, Multi;Ancient Greek Religion & Lore, Greek myth, Greek Retellings;Husband & Wife, King & Queen, lovers - Relationship, Gods and Goddesses - Relationship;Hades, Persephone, Aphrodite, Ares, Hephaestus, Hera, Zeus, Medusa;References to Ancient Greek Religion & Lore, Gorgons (Ancient Greek Religion & Lore), Alternate Universe - Ancient Greek Religion & Lore Fusion, Inspired by Hades and Persephone (Ancient Greek Religion & Lore), Twelve Gods of Olympus (Ancient Greek Religion & Lore), Loving Aphrodite/Hephaestus (Ancient Greek Religion & Lore), Aphrodite/Ares (Ancient Greek Religion & Lore) - Freeform, Zeus/Hera (Ancient Greek Religion & Lore), Zeus Being an Asshole (Ancient Greek Religion & Lore), Inaccurate Ancient Greek Religion & Lore, Alternate Universe - Gods & Goddesses, Gods, Pagan Gods, Old Gods;English;2022-07-09;Completed;2022-10-18;2899;5/5;;4;;144
The Wolf, The Serpent and The Net Weaver;author_126;Explicit;F/M, M/M, Other;Good Omens (TV), Norse Mythology - Neil Gaiman, Ancient Greek Religion & Lore;Aziraphale/Crowley (Good Omens), Crowley & Jesus (Good Omens), Hastur/Michael (Good Omens), Ligur/Michael (Good Omens), Jesus/John of Patmos (Good Omens), God/Hel, Loki (Norse Religion & Lore)/lots of side characters;Aziraphale (Good Omens), Crowley (Good Omens), Jesus (Good Omens), Gabriel (Good Omens), Michael (Good Omens), Hastur (Good Omens), Ligur (Good Omens), Loki (Norse Religion & Lore), Angrboda | Angerboda (Norse Religion & Lore), Hel (Norse Religion & Lore), God (Good Omens), Satan | Lucifer (Good Omens), Thorr | Thor (Norse Religion & Lore), Kvasir (Norse Religion & Lore), Odinn | Odin (Norse Religion & Lore), Volundr | Volund (Norse Religion & Lore), Other Characters we thought we lost in Sleeping Snakes and Disappearing Demigods, Metatron (Good Omens), War (Good Omens), Famine (Good Omens), Pestilence (Good Omens), Death (Good Omens), Eris | Discordia (Ancient Greek Religion & Lore);Ineffable Husbands (Good Omens), Angst with a Happy Ending, Aziraphale Loves Crowley (Good Omens), Crowley Loves Aziraphale (Good Omens), Flashbacks of past sexual assault, Protective Crowley (Good Omens), Protective Aziraphale (Good Omens), Explicit Language, Explicit Sexual Content, God killing weapons, Blood and Violence, Loki is a conniving god of chaos, Regaining old memories, recovering from memory loss, Alternate Universe - Canon Divergence, Shape-shifter, resurrecting the dead;English;2022-01-17;Completed;2022-10-18;33085;10/10;8;12;2;309
Icarus flew too close.;author_127;Teen And Up Audiences;;Ancient Greek Religion & Lore, The Song of Achilles - Madeline Miller;Hades/Persephone (Ancient Greek Religion & Lore), Achilles/Patroclus of Opus (Ancient Greek Religion & Lore), Achilles & Hector (Ancient Greek Religion & Lore), Achilles & Patroclus (Song of Achilles), Peleus/Thetis (Ancient Greek Religion & Lore), Ariadne & Asterion the Minotaur (Ancient Greek Religion & Lore), Hades & Poseidon & Zeus (Ancient Greek Religion & Lore), Hera/Zeus (Ancient Greek Religion & Lore), Zeus/literally almost every woman he sees, Demeter & Zeus (Ancient Greek Religion & Lore), Artemis & Zeus (Ancient Greek Religion & Lore), Apollo/Hyacinthus (Ancient Greek Religion & Lore), Apollo & Artemis (Ancient Greek Religion & Lore), Daedalus & Icarus (Ancient Greek Religion & Lore), Ariadne & Icarus (Ancient Greek Religion & Lore), Ariadne & Dionysus (Ancient Greek Religion & Lore);Icarus (Ancient Greek Religion & Lore), Ariadne (Ancient Greek Religion & Lore), Huntresses of Artemis (Ancient Greek Religion & Lore), Artemis (Ancient Greek Religion & Lore), Apollo (Ancient Greek Religion & Lore), Apollo (Song of Achilles), Daedalus (Ancient Greek Religion & Lore), Zeus (Ancient Greek Religion & Lore), Hades (Ancient Greek Religion & Lore), Persephone (Ancient Greek Religion & Lore), Hera (Ancient Greek Religion & Lore), Dionysus (Ancient Greek Religion & Lore), Aphrodite (Ancient Greek Religion & Lore), The Olympians;How Do I Tag, There are some modern aus, The Song of Achilles References, Song: Icarus (Bastille), Inspired by The Fall of Icarus (Ancient Greek Religion & Lore), Twelve Gods of Olympus (Ancient Greek Religion & Lore), Mount Olympus (Ancient Greek Religion & Lore);English;2022-10-17;Completed;2022-10-17;923;1/1;;9;;103
What the Darkness Enfolds;author_128;General Audiences;;Ancient Greek Religion & Lore, Original Work;Hades/Persephone;Persephone (Ancient Greek Religion & Lore), Demeter (Ancient Greek Religion & Lore), Original Female Character(s);Angst, Dark Magic, References to Ancient Greek Religion & Lore, Inspired by Hades and Persephone (Ancient Greek Religion & Lore), Hurt No Comfort, Dead Dove: Do Not Eat, Dark Fantasy;English;2022-10-16;Completed;2022-10-16;1537;1/1;;1;;26
domestic bliss but make it horny.;author_129;Explicit;M/M;The Iliad - Homer, Ancient Greek Religion & Lore;Agamemnon/Odysseus (Ancient Greek Religion & Lore);Agamemnon (Ancient Greek Religion & Lore), Odysseus (Ancient Greek Religion & Lore);Alternate Universe - Modern Setting, literally only a modern au cause i wanted them married, they still just fuck. but with wedding bands on tbh??, Public Hand Jobs, Anal Sex, Oral Sex, Married Sex, most important tag, LITERALLY. just wanted married agaody fuckin, the setting?? the plot??? IRRELEVANT, they bang THE END, also these men are OLD and i make no apologies for the constant references to their ailing bodies, THANKS enjoy;English;2022-10-15;Completed;2022-10-15;8322;1/1;3;12;2;215
Icarus, Sun kissed.;author_119;General Audiences;M/M;Ancient Greek Religion & Lore;Apollo/Icarus (Ancient Greek Religion & Lore), Daedalus & Icarus (Ancient Greek Religion & Lore);Apollo (Ancient Greek Religion & Lore), Icarus (Ancient Greek Religion & Lore), Daedalus (Ancient Greek Religion & Lore);"Fluff, Retelling of Ancient Greek Religion and Lore, they kiss &lt;3, don't know what to add really lmao, Canon Compliant, is that the correct phrasing???, like it techinically is, but like, Homo, anyways enjoyyyyyyy, &lt;3, oh! oh!, Poetry, Love Poems, Bad Poetry, that's more accurate tbh";English;2022-10-14;Completed;2022-10-14;4265;1/1;9;38;5;255
A Reason for Music;author_130;Teen And Up Audiences;M/M;Original Work, Ancient Greek Religion & Lore;Apollo/Hyacinthus (Ancient Greek Religion & Lore);Apollo (Ancient Greek Religion & Lore), Artemis (Ancient Greek Religion & Lore), Dionysus (Ancient Greek Religion & Lore), Hermes (Ancient Greek Religion & Lore);Inspired by Apollo and Hyacinthus (Ancient Greek Religion & Lore), Slow Burn;English;2022-10-14;Completed;2022-10-14;269;1/1;1;13;;164
